headline,less,equal,more
Harmonie im Lufthansa-Ufo und die digitale Zukunft der Flughäfen,1,0,0
Amadeus übernimmt Netzwerkplaner Optym,1,0,0
Lufthansa verlänget China-Pause für alle Konzern-Airlines,1,0,0
Vueling-Boss wird Iberia-Chef. Und der bisherige wird IAG-CEO.,1,0,0
Too big to fail - Airbus ist mit Milliarden-Strafe gut bedient,1,0,0
Erstes Testlab im Terminal des Münchner Flughafens eröffnet,1,0,0
US-Designer entwirft neues emissionsfreies Flugzeug,1,0,0
Sechs Klagen gegen Erdinger-Ringschluss eingereicht,1,0,0
So könnten die Flughäfen der Zukunft aussehen,1,0,0
Turkish Airlines kündigt neue Ziele ab München an,1,0,0
Ryanair mit deutlichem Quartalsgewinn,1,0,0
Lufthansa und Ufo suchen mehrere Wege zur Einigung,1,0,0
Ryanair muss wegen Pilotenstreik Entschädigungen zahlen,1,0,0
A380-Airbus von Qantas zur Umrüstung in Dresden gelandet,1,0,0
Worauf man verzichten muss wenn der Flug das CO2-Budget nicht sprengen soll,1,0,0
Condors Zukunft Boeings Bilanz Airbus Strafe,1,0,0
Auch US-Börsenaufsicht SEC emittelt jetzt gegen Boeing,1,0,0
BER hat nach wenigen Tagen genug Tester - kein Lohn geplant,1,0,0
Fluggerätmechaniker Maintenance-Manager und Dispatcher gesucht,1,0,0
Regionalflug in Deutschland,1,0,0
Neues Sitzplatzregime bei Eurowings und die mögliche Mindestlohnpflicht für BER-Tester,1,0,0
Verhandlungen für Manteltrahmentarifvertrag für Beschäftigten der Luftsicherheit gestartet,1,0,0
Verdi und Abfertiger AHS unterschreiben Tarifvertrag,1,0,0
Lauda kündigt sechs neue Routen ab Stuttgart an,1,0,0
Airbus zahlt 36 Milliarden Euro wegen Korruptionsvorwürfen,1,0,0
Lufthansa Cargo fliegt mit Sonderflugplan von und nach China,1,0,0
Dortmunder Business Aviation schließt sich zusammen,1,0,0
Update zum Brexit: Das Austrittsabkommen EU-UK und die politische Erklärung,1,0,0
Shortlist für die Crystal Cabin Awards vorgestellt,1,0,0
Finnair streicht alle Flüge nach China,1,0,0
Easyjet und Travelport verlängern Zusammenarbeit,1,0,0
Eurowings stoppt Sitzplatzwahl im Basic-Tarif am Airport,1,0,0
Lufthansa prüft wohl Ende der Condor-Zubringerflüge,1,0,0
Kritiker werfen BER-Betreibern Umgehung des Mindestlohns für Tester vor,1,0,0
Rund 16 Millionen Passagiere fliegen pro Jahr von China nach Deutschland,1,0,0
Bremer Airport subventioniert zusätzlichen Verkehr,1,0,0
Lufthansa und Ufo starten Schlichtung,1,0,0
Lufthansa reduziert Paris-Charles-de-Gaulle-Umläufe ab München,1,0,0
Leipzig ist Lichtblick im deutschen Cargo-Geschäft,1,0,0
Ryanair setzt Dublin-München aus,1,0,0
Spacejet verzögert sich weiter und Ufo dementiert Streikvorbereitungen,1,0,0
Rwand Air setzt auf Lösungen von Lufthansa Systems,1,0,0
Flughafen Düsseldorf kassiert bald zwei Euro für Gepäckwagen-Nutzung,1,0,0
Auch Air France setzt alle China-Flüge aus,1,0,0
Boeing sieht keinen Mangel an 737-Max-Simulatoren,1,0,0
München zahlt Airlines Millionen-Zuschüsse für neue Flüge,1,0,0
Pratt & Whitney will Nachrüstungen der Getriebefan-Triebwerke bald abschließen,1,0,0
Spirit Aerosystems und Boeing einigen sich auf Zeitplan für 737-Rümpfe,1,0,0
Mit diesen Projekten will das DLR die Verkehrswende vorantreiben,1,0,0
Wisag und Verdi streiten weiter um Tarifvertrag in Frankfurt,1,0,0
Ufo dementiert Streikvorbereitungen bei Lufthansa,1,0,0
Condor hat ihren Lewandowski gefunden,1,0,0
Mitsubishi verschiebt Auslieferung des Spacejet um weitere anderthalb Jahre,1,0,0
EASA rät nicht mehr von allen Iran- und Irak-Überflügen ab,1,0,0
Neue Tuifly-Sommerrouten und weniger Emirates-A380-Flüge,1,0,0
Inflightentertainment bei Eurowings und ein neuer Chef für Sunexpress,1,0,0
Europäische Politik vernachlässigt Schaffung eines einheitlichen Luftraums,1,0,0
Flughafenchef will Tuifly-Langstrecke in Hannover,1,0,0
Lufthansa Group setzt wegen Coronavirus alle Flüge nach China aus,1,0,0
Max Kownatzki wird neuer Sunexpress-CEO,1,0,0
Eurowings führt neue On-Bord-Unterhaltungsplattform ein,1,0,0
Neues Tunnelkino für Terminal-Verbindungsbahn am Flughafen Zürich,1,0,0
Wizz Air legt erneut zweistellige Wachstumzahlen vor,1,0,0
Kein Anspruch auf Schadenersatz für stornierten Flug,1,0,0
Emirates reduziert A380-Einsatz nach Frankfurt und Düsseldorf,1,0,0
Nasa bestellt Hubschrauber bei Airbus Helicopters,1,0,0
South African Airways bekommt Notkredit,1,0,0
Aeroflot schickt Sukhoi SuperJet öfter nach Hannover,1,0,0
Tuifly startet neue Sommerrouten ab München und Hannover,1,0,0
British Airways stoppt wegen Coronavirus alle Flüge nach China - Lufthansa nicht,1,0,0
Germanwings-Absturz: Gericht verhandelt am 6. Mai über Schmerzensgeld,1,0,0
737 Max ruiniert Boeing-Bilanz,1,0,0
Berlin ist größter Gewinner und Verlierer bei den Passagierzahlen 2019,1,0,0
Boeings 737-Nachfolger und Ryanair mit Jobbabbau,1,0,0
Umweltministerium reduziert Flüge zwischen Bonn und Berlin,1,0,0
Ryanair bringt erneut Jobabbau wegen 737-Max-Verspätung ins Spiel,1,0,0
Sun-Air stellt Verbindung von Friedrichshafen nach Hamburg ein,1,0,0
Boeing erwägt gleich großen Nachfolger für 737,1,0,0
Bratislava schließt Ende April seine Pisten für zehn Tage,1,0,0
Easa veröffentlich Empfehlungen zum Umgang mit Coronavirus-Verdachtsfällen,1,0,0
Fluglotsen in Frankreich wollen ab Dienstagabend streiken,1,0,0
Weltwirtschaftsforum verursacht zusätzlichen Verkehr in Friedrichshafen,1,0,0
Airbus einigt sich mit drei Behörden wegen Korruptionsvorwürfen,1,0,0
Lufthansa sieht sich gut vorbeireitet auf weitere Szenarien der Coronavirus-Pandemie,1,0,0
NRW-Justizminister fordert Geofencing-Verpflichtung für Drohnen,1,0,0
Brasilianische Behörde gibt OK für Embraer-Übernahme durch Boeing,1,0,0
A220-Bestellung Pandemie-Flughäfen und neue Nachtzug-Forderungen,1,0,0
Corendon fliegt im Sommer von Münster ins türkische Zonguldak,1,0,0
Umweltministerium reduziert Flüge zwischen Dienstsitzen,1,0,0
Modemarke Napapijri eröffnet Shop am Flughafen Köln/Bonn,1,0,0
Dr. Peters erzielt Einigung mit Air France zu Airbus A380,1,0,0
Flugzeuge mit Coronavirus-Verdacht dürfen nur fünf deutsche Flughäfen ansteuern,1,0,0
So wird die Condor-Übernahme in Polen bewertet,1,0,0
Flughafen Braunschweig testet Drohnen zur Zaun-Überwachung,1,0,0
20.000 Freiwillige sollen ab Ende April den BER testen,1,0,0
Politiker fordern neues DB-Nachtzug-Angebot,1,0,0
Heinemann und Casualfood kooperieren an kleineren Airports,1,0,0
Nordic Aviation Capital macht Bestellung über 20 Airbus A220 fix,1,0,0
Bessere Drohnenabwehr würde Millionen kosten,1,0,0
Innerdeutscher Verkehr zum zweiten Mal in Folge rückläufig,1,0,0
Boeing-Quartalsbericht DLR-Ausblick Ausbildungsmesse airport@night,1,0,0
Condor mit neuer Mutter und ein Erstflug bei Boeing,1,0,0
Boeing 777X in Everett gestartet - größter Zweistrahler der Welt absolviert Erstflug,1,0,0
Marketingreferenten Operations-Mitarbeiter und Personalreferenten gesucht,1,0,0
Ohne genaue Vorbereitung hebt kein Flug ab,1,0,0
Erste Untreue-Ermittlungen gegen Ufo-Funktionäre eingestellt,1,0,0
Adria-Airways-Lizenz ist verkauft und Scheuer unterstützt kleine Flughäfen,1,0,0
Air Adriatic ersteigert Betriebslizenzen von insolventer Adria Airways,1,0,0
Elektroflugzeug Eviation Alice bei Bodentests verbrannt,1,0,0
Scheuer verspricht Regionalflughäfen Unterstützung,1,0,0
Tarifeinigung für Berliner Bodenverkehrsdienstmitarbeiter lässt weiter auf sich warten,1,0,0
Lot-CEO will Condor-Langstreckenflotte erneuern und ausbauen,1,0,0
Paderborn/Lippstadt Airport erneuert Vorfeldflächen,1,0,0
Fliegen in Zeiten des Klimawandels – eine Herausforderung,1,0,0
Amadeus neuer Business Partner des Barig,1,0,0
Flughafen Leipzig/Halle bekommt neue Anflugverfahren,1,0,0
Lot-Mutter PGL übernimmt Condor,1,0,0
Norwegian verschärft Handgepäckregeln,1,0,0
Ryanair dementiert Airbus-Bestellung,1,0,0
Experten glauben nicht an zeitnahe Wiederaufnahme der 737-Max-Produktion,1,0,0
Möglicher Börsengang von Lufthansa Technik und Passagierrückgang in Dresden,1,0,0
Neue bayerische Grenzpolizeigruppe am Flughafen Memmingen,1,0,0
Flughafen Memmingen übernimmt E-Schlepper,1,0,0
Millioneninvestition in Drohnen-Testzentrum am Flughafen Cochstedt,1,0,0
Flughafen Schönefeld darf nach BER-Eröffnung offen bleiben,1,0,0
Medien: Vorentscheidung um Condor-Zukunft naht,1,0,0
Die Passagierzahlen der großen Low-Cost-Airlines im Vergleich,1,0,0
Germania-Aus trifft Flughafen Dresden,1,0,0
Leipzig/Halle mit mehr Passagieren und mehr Fracht,1,0,0
DFS wird künftig von vier Managern geführt,1,0,0
ADV sieht deutsche Flughäfen gut auf Seuchengefahren vorbereitet,1,0,0
Boeing verschiebt Erstflug der 777X wegen Wetterlage,1,0,0
Lufthansa könnte Technik-Sparte an die Börse bringen,1,0,0
Bundesregierung will vorerst keine Ausweis-Kontrolle durch Airlines,1,0,0
DAT übernimmt Berlin-Flüge und Eurowings startet nach Lappland,1,0,0
Swiss-A340 von innen wie neu und Lufthansas Transparenz-Abbau,1,0,0
Embraer denkt über neues Turbopropflugzeug nach - Boeing soll helfen,1,0,0
Jahresbilanz: Rund 30 Prozent weniger Passagiere am Hahn,1,0,0
Tui und Sunexpress sehen sich gut gerüstet für neuerliche 737-Max-Verschiebung,1,0,0
Lufthansa Group veröffentlicht Passagierzahlen nicht mehr monatlich,1,0,0
Lufthansa und Ufo führen konstruktive Gespräche,1,0,0
Lufthansa-Tochter Swiss wechselt Airport in Peking,1,0,0
Eurowings fliegt für Pro Sky nach Lappland,1,0,0
Swiss nimmt Osaka wieder ins Programm,1,0,0
DAT startet Saarbrücken-Berlin-Strecke,1,0,0
Swiss schließt A340-Umbau ab,1,0,0
Sabre und Google schließen langfristige Partnerschaft,1,0,0
Ryanair-Rückzug könnte Flughafen Nürnberg 600.000 Passagiere kosten,1,0,0
Lufthansa Group nutzt grünen Strom in Heimatmärkten,1,0,0
Swissport wird Handlingsagent in Tansania,1,0,0
DLR will Magdeburg-Cochstedt 2021 wiedereröffnen,1,0,0
Die Luftfahrt muss sich radikal ändern,1,0,0
Sundair setzt Wachstumskurs fort,1,0,0
Wiederzulassung der Boeing 737 Max verschiebt sich erneut,1,0,0
Potenzielle Condor-Käuferin Lot weist Rekordpassagierzahl aus,1,0,0
Wir wollen dass hier möglichst leise geflogen wird,1,0,0
Zweifel am Lililum-Jet und keine Abfindungen für Ex-Air-Berlin-Flugbegleiter,1,0,0
Neunte Bauphase der Vorfelderneuerung startet am Flughafen Hamburg,1,0,0
SSP eröffnet sechstes gastronomisches Angebot am Flughafen Köln/Bonn,1,0,0
South African Airways streicht kurzfristig mehrere Flüge nach München,1,0,0
Bundesarbeitsgericht weißt Forderungen von Air-Berlin-Flugbegleitern zurück,1,0,0
Wizz Air von Wettbewerbszentrale wegen Entschädigungsrechten verklagt,1,0,0
Airbus baut neue A321-Fertigungslinie in Toulouse auf,1,0,0
Flughafen Wien stößt an Wachstumsgrenze,1,0,0
FDP-Chef Lindner will gemeinsamen CO2-Zertifikatehandel mit China,1,0,0
Der BER wird zahlreiche neue Flughafen-Arbeitsplätze nach Berlin bringen,1,0,0
KLM übernimmt in Holland beschlagnahmte Triple Seven von insolventer Jet Airways,1,0,0
Iran: Ukrainische 737 wurde von zwei Raketen getroffen wurde,1,0,0
Lufthansa will mit Google Cloud für stabileren Flugbetrieb sorgen,1,0,0
Gestiegene Ticketpreise verringern Easyjets Winterverluste,1,0,0
Experte: Angekündigte Leistungsdaten für Lilium-Jet stimmen nicht,1,0,0
Einstündiger Streik am Bodensee-Airport,1,0,0
Bodenabfertiger AHS hat Geschäft an Berliner Flughäfen eingestellt,1,0,0
Historischer Strecken-Auftrag für Eurowings und eine Air-Berlin-Verhandlung in London,1,0,0
Eurowings soll als erste Airline wieder Flüge zwischen Serbien und Kosovo anbieten,1,0,0
Airbus will das Ticketpreis-Risiko für Airlines minimieren,1,0,0
Weniger Flugbewegungen im deutschen Luftraum,1,0,0
Neuer Nachtzug zwischen Wien Innsbruck und Brüssel gestartet,1,0,0
German Airways COO im Interview,1,0,0
Neuer SARS-Virus breitet sich in Asien aus,1,0,0
Flughafen Leipzig/Halle informiert über Ausbaupläne,1,0,0
Schifffahrt erwartet Kosten im Billionen-Dollar-Bereich wegen UN-Klimazielen,1,0,0
Air France-KLM muss noch effizienter werden,1,0,0
Flughafen Saarbrücken will auf der Berlin-Strecke Fluggäste zurückgewinnen,1,0,0
Gericht weist Klage gegen BER-Zusatzterminal T2  ab,1,0,0
Air-Berlin-Insolvenzverwalter will Etihad-Prozess in Berlin verhandeln,1,0,0
Lufthansa Group setzt alle Teheran-Flüge bis Ende März aus,1,0,0
Ufo sagt Streikvorbereitungen bei Lufthansa überraschend ab,1,0,0
Weiteres Softwareproblem bei Boeing 737 Max,1,0,0
Jahres-Passagierzahlen Brüsseler Luftfahrtgipfel und Zürcher Zusatzverkehr,1,0,0
Reformdruck trotz Passagier-Rekord und neue Bieter für Condor,1,0,0
Gepäckabfertiger Flight Operations Inspector sowie Commercial Jets Manager gesucht,1,0,0
Airbus für die Stadt Tui mit Sundair in Paderborn Drohung aus Dublin,1,0,0
Die Klima-Ziele der Airlines hinken denen der Politik hinterher,1,0,0
Rewe-Markt im Düsseldorfer Flughafen schließt für Renovierung,1,0,0
Parkgebühren für Beschäftigte am Flughafen Köln/Bonn steigen deutlich,1,0,0
Jarzombek will kleine Flugplätze zu Mobilitätshubs ausbauen,1,0,0
Verdi meldet Tarifabschluss für Bodenabfertiger Acciona in Düsseldorf,1,0,0
Ufo prüft unbefristeten Streik bei der Lufthansa,1,0,0
Eurowings war 2019 pünktlicher als im Vorjahr,1,0,0
Schweizer Wissenschaftler forschen in AuraLab an leiseren Flugzeuge,1,0,0
Ryanair-Chef stellt London im Streit im Flybe ein Ultimatum,1,0,0
Tui kündigt Wachstum am Flughafen Paderborn an,1,0,0
Luftfahrtindustrie soll sich von alten Konzepten lösen,1,0,0
Airbus veröffentlicht Video von fliegendem City-Airbus,1,0,0
Flughafen Graz nutzen 2019 eine Million Passagiere,1,0,0
Flughafen Memmingen ist in der Nische erfolgreich,1,0,0
Swiss setzt A220 vermehrt nach Deutschland ein,1,0,0
Bombardier denkt über Rückzug aus A220-Programm nach,1,0,0
Airbus-Vertriebschef: A330-Neo-Produktion bleibt stabil,1,0,0
Airbus führt mit A350 vollautomatischen Start durch,1,0,0
Gescheiterte Ufo-Gespräche und Lufthansas Gedanken zur Premium Business Class,1,0,0
Dritter Schlichtungsversuch im Ufo-Lufthansa-Konflikt scheitert,1,0,0
Airbus zufrieden mit Kostenentwicklung des A220-Programms,1,0,0
Bieterwettkampf um Condor,1,0,0
Noch wenig Schwung in den ersten Meldungen des Jahres,1,0,0
Zeitfracht kauft Pilotenschule TFC Käufer für German Airways,1,0,0
Europäischer Flughafenverband fordert Reform der Slot-Regulierung,1,0,0
Zwei neue Mitglieder im Präsidium des Aircargo Club Deutschland,1,0,0
Thyssenkrupp Aerospace streicht 229 Arbeitsplätze wegen A380-Aus,1,0,0
BFU untersucht Tiefflug von Thai-Airways-Maschine über Rüsselsheim,1,0,0
Flughafen Zürich will neuen Hangar für Geschäftsluftfahrt bauen,1,0,0
FACC will Aftermarket Services mit chinesischer Wartungslizenz ausbauen,1,0,0
BER bekommt Tüv-Freigabe für Bereich zwischen Terminal und Bahnhof,1,0,0
British Airways renoviert Lounge in Berlin-Tegel,1,0,0
Lufthansa Group erwägt Premium-Business-Class,1,0,0
Viele Ausfälle bei Swiss-Abendrotation Zürich - London-City,1,0,0
Condor und Ufo schließen Tarifvertrag zur Sanierung,1,0,0
Dritter Anlauf für Schlichtung zwischen Lufthansa und Ufo,1,0,0
Flughafen Helsinki richtet Haustier-Toilette ein,1,0,0
Dreamliner nach Zürich und Tel-Aviv-Ersatz ab Nürnberg,1,0,0
Im Landeanflug wird niemals Kerosin abgelassen,1,0,0
Probleme im Markt für Großraumflugzeuge,1,0,0
Der letzte 747-Combi-Flug bei KLM und Ryanairs Max-Zuversicht,1,0,0
Düsseldorf freut sich über steten Rückgang von Nachtflugbewegungen,1,0,0
FBB feiert neues Dienstgebäude für Bundespolizei am BER,1,0,0
Flybe ist gerettet und plant zwei neue Strecken nach Deutschland,1,0,0
Ryanair startet in Wien,1,0,0
Sundair-Chef spricht über Start der Airline in Bremen,1,0,0
Easyjet nennt neues Sommerziel ab Schönefeld,1,0,0
Tuifly-Chef Lackmann im Interview,1,0,0
179 Millionen Passagiere am Flughafen Genf,1,0,0
Ryanair rechnet mit zehn Boeing 737 Max bis April,1,0,0
